               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  60,            0.041549,            0.042113,           0.0028133,             0.88357,             0.82887,             0.88526,             0.49533,            0.040926,            0.026165,           0.0025884,            0.006106,            0.006106,            0.006106
                  61,            0.041429,            0.041008,           0.0031483,             0.87773,              0.8341,             0.88706,             0.50655,            0.040557,            0.026206,           0.0025938,             0.00604,             0.00604,             0.00604
                  62,            0.040437,            0.041008,           0.0030415,             0.88092,             0.82313,             0.88294,             0.49984,             0.04045,            0.026116,            0.002692,            0.005974,            0.005974,            0.005974
                  63,            0.041029,            0.039386,           0.0028103,              0.8899,             0.82513,              0.8831,             0.49228,            0.040714,            0.025828,            0.002993,            0.005908,            0.005908,            0.005908
                  64,            0.041161,            0.039439,           0.0026044,             0.88887,             0.84224,             0.88859,             0.49899,            0.040899,            0.026093,           0.0025526,            0.005842,            0.005842,            0.005842
                  65,            0.040569,            0.040425,           0.0025982,             0.89322,             0.83142,              0.8858,             0.50212,            0.040813,             0.02613,           0.0027076,            0.005776,            0.005776,            0.005776
                  66,            0.040573,            0.039203,           0.0025328,             0.88844,              0.8369,              0.8921,             0.50133,            0.040487,            0.025933,           0.0025984,             0.00571,             0.00571,             0.00571
                  67,            0.040175,            0.039932,           0.0023794,             0.89805,             0.83148,             0.89242,             0.49851,            0.040549,            0.025715,           0.0022937,            0.005644,            0.005644,            0.005644
                  68,            0.039891,            0.039373,           0.0022285,             0.88761,             0.84676,             0.89345,             0.51003,            0.039903,            0.025484,           0.0024336,            0.005578,            0.005578,            0.005578
                  69,            0.039923,            0.040465,           0.0022162,             0.89771,             0.84409,             0.89551,             0.51346,            0.039775,            0.025822,           0.0023376,            0.005512,            0.005512,            0.005512
